date,current_balance,unit_price,daily_profit,is_stop_loss,is_take_profit
2023-01-05,107890,100,7890,0,0
2023-01-07,104790,100,-3100,0,0
2023-01-08,103390,100,-1400,0,0
2023-01-09,120620,100,17230,0,0
2023-01-14,117720,100,-2900,0,0
2023-01-15,114420,100,-3300,0,0
2023-01-21,117640,100,3220,0,0
2023-01-22,115340,100,-2300,0,0
2023-01-28,112840,100,-2500,0,0
2023-01-29,110140,100,-2700,0,0
2023-02-04,105540,100,-4600,0,0
2023-02-05,102840,100,-2700,0,0
2023-02-11,99540,100,-3300,0,0
2023-02-12,95540,100,-4000,0,0
2023-02-18,90940,100,-4600,0,0
2023-02-19,101450,100,10510,0,0
2023-02-25,102250,100,800,0,0
2023-02-26,98550,100,-3700,0,0
2023-03-04,95950,100,-2600,0,0
2023-03-05,93850,100,-2100,0,0
2023-03-11,103260,100,9410,0,0
2023-03-12,99660,100,-3600,0,0
2023-03-18,102540,100,2880,0,0
2023-03-19,104290,100,1750,0,0
2023-03-25,136820,100,32530,0,0
2023-03-26,133920,100,-2900,0,0
2023-04-01,131520,100,-2400,0,0
2023-04-02,132900,100,1380,0,0
2023-04-08,128800,100,-4100,0,0
2023-04-09,140500,100,11700,0,0
2023-04-15,137900,100,-2600,0,0
2023-04-16,139750,100,1850,0,0
2023-04-22,136050,100,-3700,0,0
2023-04-23,133050,100,-3000,0,0
2023-04-29,129450,100,-3600,0,0
2023-04-30,126350,100,-3100,0,0
2023-05-06,122250,100,-4100,0,0
2023-05-07,119450,100,-2800,0,0
2023-05-13,115550,100,-3900,0,0
2023-05-14,117610,100,2060,0,0
2023-05-20,145900,100,28290,0,0
2023-05-21,154410,100,8510,0,0
2023-05-27,177590,100,23180,0,0
2023-05-28,175790,100,-1800,0,0
2023-06-03,173590,100,-2200,0,0
2023-06-04,171590,100,-2000,0,0
2023-06-10,168190,100,-3400,0,0
2023-06-11,164390,100,-3800,0,0
2023-06-17,161490,100,-2900,0,0
2023-06-18,158990,100,-2500,0,0
2023-06-24,155890,100,-3100,0,0
2023-06-25,153990,100,-1900,0,0
2023-07-01,154530,100,540,0,0
2023-07-02,151930,100,-2600,0,0
2023-07-08,149930,100,-2000,0,0
2023-07-09,180450,100,30520,0,0
2023-07-15,178750,100,-1700,0,0
2023-07-16,189860,100,11110,0,0
2023-07-22,187360,100,-2500,0,0
2023-07-23,185060,100,-2300,0,0
2023-07-29,183060,100,-2000,0,0
2023-07-30,185880,100,2820,0,0
2023-08-05,189780,100,3900,0,0
2023-08-06,188880,100,-900,0,0
2023-08-12,191160,100,2280,0,0
2023-08-13,189360,100,-1800,0,0
2023-08-19,185760,100,-3600,0,0
2023-08-20,192920,100,7160,0,0
2023-08-26,207780,100,14860,0,0
2023-08-27,238860,200,31080,0,0
2023-09-02,260799,200,21939,0,0
2023-09-03,338499,200,77700,0,0
2023-09-09,335499,300,-3000,0,0
2023-09-10,334299,300,-1200,0,0
2023-09-16,332499,300,-1800,0,0
2023-09-17,330099,300,-2400,0,0
2023-09-18,326799,300,-3300,0,0
2023-09-23,323799,300,-3000,0,0
2023-09-24,321099,300,-2700,0,0
2023-09-30,318099,300,-3000,0,0
2023-10-01,317199,300,-900,0,0
2023-10-07,312999,300,-4200,0,0
2023-10-08,308499,300,-4500,0,0
2023-10-09,304899,300,-3600,0,0
2023-10-14,322779,300,17880,0,0
2023-10-15,320079,300,-2700,0,0
2023-10-21,312279,300,-7800,0,0
2023-10-22,305079,300,-7200,0,0
2023-10-28,341329,300,36250,0,0
2023-10-29,358939,300,17610,0,0
2023-11-04,352339,300,-6600,0,0
2023-11-05,347329,300,-5010,0,0
2023-11-11,336829,300,-10500,0,0
2023-11-12,332419,300,-4410,0,0
2023-11-18,318619,300,-13800,0,0
2023-11-19,307819,300,-10800,0,0
2023-11-25,299519,300,-8300,0,0
2023-11-26,291719,200,-7800,0,0
2023-12-02,308819,200,17100,0,0
2023-12-03,309679,300,860,0,0
2023-12-09,327409,300,17730,0,0
2023-12-10,319309,300,-8100,0,0
2023-12-16,308509,300,-10800,0,0
2023-12-17,310969,300,2460,0,0
2023-12-23,301069,300,-9900,0,0
2023-12-24,292869,300,-8200,0,0
2023-12-28,285669,200,-7200,0,0
2024-01-06,281869,200,-3800,0,0
2024-01-07,274469,200,-7400,0,0
2024-01-08,270469,200,-4000,0,0
2024-01-13,261469,200,-9000,0,0
2024-01-14,254269,200,-7200,0,0
2024-01-20,258029,200,3760,0,0
2024-01-21,251229,200,-6800,0,0
2024-01-27,264049,200,12820,0,0
2024-01-28,255849,200,-8200,0,0
2024-02-03,294969,200,39120,0,0
2024-02-04,285969,200,-9000,0,0
