date,current_balance,unit_price,daily_profit,is_stop_loss,is_take_profit
2023-01-05,107690,100,7690,0,0
2023-01-07,104790,100,-2900,0,0
2023-01-08,103090,100,-1700,0,0
2023-01-09,101490,100,-1600,0,0
2023-01-14,100829,100,-661,0,0
2023-01-15,97829,100,-3000,0,0
2023-01-21,103079,100,5250,0,0
2023-01-22,100779,100,-2300,0,0
2023-01-28,98079,100,-2700,0,0
2023-01-29,94679,100,-3400,0,0
2023-02-04,89979,100,-4700,0,0
2023-02-05,86579,100,-3400,0,0
2023-02-11,89499,100,2920,0,0
2023-02-12,85199,100,-4300,0,0
2023-02-18,80599,100,-4600,0,0
2023-02-19,77599,100,-3000,0,0
2023-02-25,95499,100,17900,0,0
2023-02-26,90999,100,-4500,0,0
2023-03-04,88099,100,-2900,0,0
2023-03-05,85899,100,-2200,0,0
2023-03-11,90749,100,4850,0,0
2023-03-12,87049,100,-3700,0,0
2023-03-18,83849,100,-3200,0,0
2023-03-19,85499,100,1650,0,0
2023-03-25,117529,100,32030,0,0
2023-03-26,115029,100,-2500,0,0
2023-04-01,112429,100,-2600,0,0
2023-04-02,119959,100,7530,0,0
2023-04-08,115259,100,-4700,0,0
2023-04-09,126859,100,11600,0,0
2023-04-15,124159,100,-2700,0,0
2023-04-16,128449,100,4290,0,0
2023-04-22,124849,100,-3600,0,0
2023-04-23,122149,100,-2700,0,0
2023-04-29,118749,100,-3400,0,0
2023-04-30,116249,100,-2500,0,0
2023-05-06,112449,100,-3800,0,0
2023-05-07,109449,100,-3000,0,0
2023-05-13,105449,100,-4000,0,0
2023-05-14,107809,100,2360,0,0
2023-05-20,126819,100,19010,0,0
2023-05-21,135129,100,8310,0,0
2023-05-27,158709,100,23580,0,0
2023-05-28,156809,100,-1900,0,0
2023-06-03,154609,100,-2200,0,0
2023-06-04,152509,100,-2100,0,0
2023-06-10,149009,100,-3500,0,0
2023-06-11,144909,100,-4100,0,0
2023-06-17,141909,100,-3000,0,0
2023-06-18,139209,100,-2700,0,0
2023-06-24,137369,100,-1840,0,0
2023-06-25,141679,100,4310,0,0
2023-07-01,142119,100,440,0,0
2023-07-02,139619,100,-2500,0,0
2023-07-08,137319,100,-2300,0,0
2023-07-09,167739,100,30420,0,0
2023-07-15,165739,100,-2000,0,0
2023-07-16,177879,100,12140,0,0
2023-07-22,175079,100,-2800,0,0
2023-07-23,176339,100,1260,0,0
2023-07-29,173939,100,-2400,0,0
2023-07-30,172739,100,-1200,0,0
2023-08-05,171339,100,-1400,0,0
2023-08-06,170339,100,-1000,0,0
2023-08-12,172519,100,2180,0,0
2023-08-13,170719,100,-1800,0,0
2023-08-19,166719,100,-4000,0,0
2023-08-20,173679,100,6960,0,0
2023-08-26,184229,100,10550,0,0
2023-08-27,199769,100,15540,0,0
2023-09-02,210538,100,10769,0,0
2023-09-03,273358,200,62820,0,0
2023-09-09,271358,200,-2000,0,0
2023-09-10,270558,200,-800,0,0
2023-09-16,268958,200,-1600,0,0
2023-09-17,280438,200,11480,0,0
2023-09-18,278038,200,-2400,0,0
2023-09-23,276038,200,-2000,0,0
2023-09-24,274038,200,-2000,0,0
2023-09-30,271638,200,-2400,0,0
2023-10-01,270838,200,-800,0,0
2023-10-07,267638,200,-3200,0,0
2023-10-08,263838,200,-3800,0,0
2023-10-09,261438,200,-2400,0,0
2023-10-14,273357,200,11919,0,0
2023-10-15,275057,200,1700,0,0
2023-10-21,269857,200,-5200,0,0
