date,current_balance,daily_profit,unit_price,bets_placed
2023-01-05,107690,7690,100,0
2023-01-07,104790,-2900,100,0
2023-01-08,103090,-1700,100,0
2023-01-09,101490,-1600,100,0
2023-01-14,100829,-661,100,0
2023-01-15,97829,-3000,100,0
2023-01-21,103079,5250,100,0
2023-01-22,100779,-2300,100,0
2023-01-28,98079,-2700,100,0
2023-01-29,94679,-3400,100,0
2023-02-04,89979,-4700,100,0
2023-02-05,86579,-3400,100,0
2023-02-11,89499,2920,100,0
2023-02-12,85199,-4300,100,0
2023-02-18,80599,-4600,100,0
2023-02-19,77599,-3000,100,0
2023-02-25,95499,17900,100,0
2023-02-26,90999,-4500,100,0
2023-03-04,88099,-2900,100,0
2023-03-05,85899,-2200,100,0
2023-03-11,90749,4850,100,0
2023-03-12,87049,-3700,100,0
2023-03-18,83849,-3200,100,0
2023-03-19,85499,1650,100,0
2023-03-25,117529,32030,100,0
2023-03-26,115029,-2500,100,0
2023-04-01,112429,-2600,100,0
2023-04-02,119959,7530,100,0
2023-04-08,115259,-4700,100,0
2023-04-09,126859,11600,100,0
2023-04-15,124159,-2700,100,0
2023-04-16,128449,4290,100,0
2023-04-22,124849,-3600,100,0
2023-04-23,122149,-2700,100,0
2023-04-29,118749,-3400,100,0
2023-04-30,116249,-2500,100,0
2023-05-06,112449,-3800,100,0
2023-05-07,109449,-3000,100,0
2023-05-13,105449,-4000,100,0
2023-05-14,107809,2360,100,0
2023-05-20,126819,19010,100,0
2023-05-21,135129,8310,100,0
2023-05-27,158709,23580,100,0
2023-05-28,156809,-1900,100,0
2023-06-03,154609,-2200,100,0
2023-06-04,152509,-2100,100,0
2023-06-10,149009,-3500,100,0
2023-06-11,144909,-4100,100,0
2023-06-17,141909,-3000,100,0
2023-06-18,139209,-2700,100,0
2023-06-24,137369,-1840,100,0
2023-06-25,141679,4310,100,0
2023-07-01,142119,440,100,0
2023-07-02,139619,-2500,100,0
2023-07-08,137319,-2300,100,0
2023-07-09,167739,30420,100,0
2023-07-15,165739,-2000,100,0
2023-07-16,177879,12140,100,0
2023-07-22,175079,-2800,100,0
2023-07-23,176339,1260,100,0
2023-07-29,173939,-2400,100,0
2023-07-30,172739,-1200,100,0
2023-08-05,171339,-1400,100,0
