date,current_balance,daily_profit,unit_price,bets_placed
2023-01-05,107690,7690,100,0
2023-01-07,104690,-3000,100,0
2023-01-08,102990,-1700,100,0
2023-01-09,101390,-1600,100,0
2023-01-14,101575,185,100,0
2023-01-15,101079,-496,100,0
2023-01-21,106129,5050,100,0
2023-01-22,103729,-2400,100,0
2023-01-28,101207,-2522,100,0
2023-01-29,98799,-2408,100,0
2023-02-04,93599,-5200,100,0
2023-02-05,90199,-3400,100,0
2023-02-11,92919,2720,100,0
2023-02-12,88119,-4800,100,0
2023-02-18,83319,-4800,100,0
2023-02-19,80119,-3200,100,0
2023-02-25,97819,17700,100,0
2023-02-26,93319,-4500,100,0
2023-03-04,92238,-1081,100,0
2023-03-05,90038,-2200,100,0
2023-03-11,94688,4650,100,0
2023-03-12,90888,-3800,100,0
2023-03-18,87588,-3300,100,0
2023-03-19,88938,1350,100,0
2023-03-25,120768,31830,100,0
2023-03-26,118268,-2500,100,0
2023-04-01,115668,-2600,100,0
2023-04-02,124624,8956,100,0
2023-04-08,123743,-881,100,0
2023-04-09,135343,11600,100,0
2023-04-15,132579,-2764,100,0
2023-04-16,136669,4090,100,0
2023-04-22,133793,-2876,100,0
2023-04-23,131093,-2700,100,0
2023-04-29,127493,-3600,100,0
2023-04-30,124793,-2700,100,0
2023-05-06,120993,-3800,100,0
2023-05-07,117993,-3000,100,0
2023-05-13,113893,-4100,100,0
2023-05-14,116520,2627,100,0
2023-05-20,135572,19052,100,0
2023-05-21,145864,10292,100,0
2023-05-27,169344,23480,100,0
2023-05-28,167444,-1900,100,0
2023-06-03,165144,-2300,100,0
2023-06-04,164196,-948,100,0
2023-06-10,160359,-3837,100,0
2023-06-11,156397,-3962,100,0
2023-06-17,153184,-3213,100,0
2023-06-18,150484,-2700,100,0
2023-06-24,148544,-1940,100,0
2023-06-25,152854,4310,100,0
2023-07-01,153194,340,100,0
2023-07-02,150513,-2681,100,0
2023-07-08,148521,-1992,100,0
2023-07-09,178841,30320,100,0
2023-07-15,176741,-2100,100,0
2023-07-16,188781,12040,100,0
2023-07-22,185781,-3000,100,0
2023-07-23,186941,1160,100,0
2023-07-29,184341,-2600,100,0
2023-07-30,183141,-1200,100,0
2023-08-05,181741,-1400,100,0
2023-08-06,180741,-1000,100,0
2023-08-12,182821,2080,100,0
2023-08-13,180921,-1900,100,0
2023-08-19,176621,-4300,100,0
2023-08-20,183381,6760,100,0
2023-08-26,196736,13355,100,0
2023-08-27,211181,14445,100,0
2023-09-02,232120,20939,200,0
2023-09-03,294340,62220,200,0
2023-09-09,292140,-2200,200,0
2023-09-10,291340,-800,200,0
2023-09-16,289740,-1600,200,0
2023-09-17,300966,11226,200,0
2023-09-18,301528,562,300,0
2023-09-23,298228,-3300,300,0
2023-09-24,296262,-1966,200,0
2023-09-30,293753,-2509,200,0
2023-10-01,292953,-800,200,0
2023-10-07,289849,-3104,200,0
2023-10-08,286732,-3117,200,0
2023-10-09,284132,-2600,200,0
2023-10-14,295851,11719,200,0
2023-10-15,297234,1383,200,0
2023-10-21,292034,-5200,200,0
2023-10-22,288183,-3851,200,0
2023-10-28,307483,19300,200,0
2023-10-29,316213,8730,300,0
2023-11-04,307813,-8400,300,0
2023-11-05,304971,-2842,300,0
2023-11-11,296071,-8900,300,0
2023-11-12,292131,-3940,200,0
2023-11-18,282331,-9800,200,0
2023-11-19,274131,-8200,200,0
2023-11-25,267731,-6400,200,0
2023-11-26,261439,-6292,200,0
2023-12-02,277659,16220,200,0
2023-12-03,281819,4160,200,0
2023-12-09,274219,-7600,200,0
2023-12-10,269419,-4800,200,0
2023-12-16,267919,-1500,200,0
2023-12-17,262583,-5336,200,0
2023-12-23,254383,-8200,200,0
2023-12-24,246371,-8012,200,0
2023-12-28,238571,-7800,200,0
2024-01-06,233371,-5200,200,0
2024-01-07,225571,-7800,200,0
2024-01-08,221750,-3821,200,0
2024-01-13,210950,-10800,200,0
2024-01-14,203488,-7462,200,0
2024-01-20,197988,-5500,200,0
2024-01-21,194088,-3900,100,0
2024-01-27,198298,4210,100,0
2024-01-28,194198,-4100,100,0
2024-02-03,212208,18010,100,0
2024-02-04,202208,-10000,200,0
2024-02-10,199172,-3036,200,0
2024-02-11,205496,6324,100,0
2024-02-17,205357,-139,200,0
2024-02-18,199657,-5700,200,0
2024-02-24,195957,-3700,100,0
2024-02-25,193157,-2800,100,0
2024-03-02,191517,-1640,100,0
2024-03-03,187517,-4000,100,0
2024-03-09,183817,-3700,100,0
2024-03-10,180517,-3300,100,0
2024-03-16,176257,-4260,100,0
2024-03-17,173328,-2929,100,0
2024-03-23,168828,-4500,100,0
2024-03-24,164728,-4100,100,0
2024-03-30,161628,-3100,100,0
2024-03-31,158328,-3300,100,0
2024-04-06,155197,-3131,100,0
2024-04-07,156584,1387,100,0
2024-04-13,152784,-3800,100,0
2024-04-14,150484,-2300,100,0
2024-04-20,147195,-3289,100,0
2024-04-21,172040,24845,100,0
2024-04-27,166340,-5700,100,0
2024-04-28,163140,-3200,100,0
2024-05-04,175165,12025,100,0
2024-05-05,179345,4180,100,0
2024-05-11,175545,-3800,100,0
2024-05-12,174585,-960,100,0
2024-05-18,174325,-260,100,0
2024-05-19,172025,-2300,100,0
2024-05-25,170186,-1839,100,0
2024-05-26,167986,-2200,100,0
2024-06-01,179636,11650,100,0
2024-06-02,177636,-2000,100,0
2024-06-08,188386,10750,100,0
2024-06-09,185546,-2840,100,0
2024-06-15,183961,-1585,100,0
2024-06-16,195261,11300,100,0
2024-06-22,191861,-3400,100,0
2024-06-23,206781,14920,100,0
2024-06-29,204895,-1886,200,0
2024-06-30,204497,-398,200,0
2024-07-06,201897,-2600,200,0
2024-07-07,208639,6742,200,0
2024-07-13,251939,43300,200,0
2024-07-14,250539,-1400,200,0
2024-07-20,271470,20931,200,0
2024-07-21,272830,1360,200,0
2024-07-27,269430,-3400,200,0
2024-07-28,268230,-1200,200,0
2024-08-03,287150,18920,200,0
2024-08-04,285550,-1600,200,0
2024-08-10,279174,-6376,200,0
2024-08-11,276997,-2177,200,0
2024-08-17,275917,-1080,200,0
2024-08-18,269952,-5965,200,0
2024-08-24,262952,-7000,200,0
2024-08-25,258952,-4000,200,0
2024-08-31,256177,-2775,200,0
2024-09-01,252577,-3600,200,0
2024-09-07,251058,-1519,200,0
2024-09-08,248858,-2200,200,0
2024-09-14,249498,640,200,0
2024-09-15,251369,1871,200,0
2024-09-16,250369,-1000,200,0
2024-09-21,248101,-2268,200,0
2024-09-22,250888,2787,200,0
2024-09-28,266388,15500,200,0
2024-09-29,263388,-3000,200,0
2024-10-05,266908,3520,200,0
2024-10-06,263708,-3200,200,0
2024-10-12,302877,39169,200,0
2024-10-13,300777,-2100,300,0
2024-10-14,298177,-2600,300,0
